0,1,2,3,4,5,6,7,8,9,10
265.0,270.63819227337103,270.89381577718854,270.8998312726605,270.8999273896327,270.8999285597622,270.89992857132756,270.8999285714239,270.8999285714247,270.8999285714247,270.8999285714286
265.0,270.63452054714776,270.89364166154763,270.8998270837468,270.89992732148295,270.8999285589189,270.89992857131904,270.8999285714238,270.89992857142465,270.89992857142465,270.8999285714286
265.0,270.6308537475738,270.89346526165554,270.8998227792804,270.8999272504672,270.8999285580279,270.89992857130994,270.89992857142363,270.8999285714246,270.8999285714246,270.8999285714286
265.0,270.62719186630983,270.89328658395334,270.8998183578523,270.8999271765091,270.89992855708726,270.89992857130017,270.89992857142346,270.89992857142454,270.89992857142454,270.8999285714286
265.0,270.62353489503244,270.89310563486663,270.8998138180599,270.89992709953117,270.899928556095,270.89992857128976,270.8999285714233,270.8999285714245,270.8999285714245,270.8999285714286
265.0,270.619882825434,270.89292242080546,270.8998091585067,270.89992701945516,270.8999285550491,270.8999285712787,270.8999285714231,270.8999285714244,270.8999285714244,270.8999285714286
265.0,270.6162356492228,270.8927369481645,270.8998043778025,270.8999269362021,270.89992855394735,270.8999285712668,270.89992857142295,270.89992857142437,270.89992857142437,270.8999285714286
265.0,270.61259335812287,270.89254922332293,270.89979947456357,270.8999268496921,270.8999285527877,270.8999285712541,270.8999285714228,270.8999285714243,270.8999285714243,270.8999285714286
265.0,270.60895594387387,270.89235925264455,270.89979444741203,270.8999267598444,270.8999285515678,270.89992857124065,270.8999285714226,270.89992857142425,270.89992857142425,270.8999285714286
265.0,270.6053233982314,270.8921670424778,270.89978929497653,270.8999266665773,270.8999285502855,270.8999285712263,270.8999285714224,270.8999285714242,270.8999285714242,270.8999285714286
265.0,270.60169571296666,270.8919725991558,270.8997840158917,270.89992656980854,270.8999285489384,270.89992857121115,270.89992857142215,270.89992857142414,270.89992857142414,270.8999285714286
265.0,270.59807287986644,270.89177592899637,270.8997786087985,270.89992646945484,270.8999285475242,270.89992857119495,270.8999285714219,270.8999285714241,270.8999285714241,270.8999285714286
265.0,270.5944548907332,270.8915770383021,270.8997730723438,270.8999263654322,270.89992854604037,270.8999285711777,270.8999285714217,270.899928571424,270.899928571424,270.8999285714286
265.0,270.59084173738495,270.89137593336034,270.89976740518074,270.89992625765564,270.8999285444845,270.89992857115953,270.89992857142147,270.89992857142397,270.89992857142397,270.8999285714286
